"","TITLE","AUTHORS","PMID","YEAR","DOI","JOURNAL","LANGUAGE","COUNTRY","ABSTRACT"
"174","Real-world challenges and unmet needs in the diagnosis and treatment of suspected invasive pulmonary aspergillosis in patients with haematological diseases: An illustrative case study.","Hoenigl, M","29112326",2017,"10.1111/myc.12727","Mycoses","eng","Germany","Recent years have seen important advances in the diagnosis of invasive pulmonary aspergillosis (IPA)  complemented by the introduction of new therapies. Despite this  IPA remains a major cause of infection-related mortality in patients with haematological diseases. There are two main reasons for this. First  diagnosis of IPA remains a challenge  since risk factors and the clinical  radiological and mycological presentations vary not only by fungal disease stage  but also by patient group (eg neutropenic vs non-neutropenic patients). Diagnosis is particularly challenging in patients receiving mould-active prophylactic or empirical treatment  which reduces the sensitivity of all diagnostic tests for IPA. Second  treatment of IPA is complex due to unpredictable pharmacokinetic profiles of antifungal agents  small therapeutic window in terms of exposure and adverse events  and multiple drug-drug interactions through the CYP450 system. Here we report a case of a 23-year-old male with severe aplastic anaemia and subpleural nodules. Diagnostic tests for IPA obtained during ongoing mould-active empirical treatment were negative. Intravenous voriconazole was stopped after visual disturbances and hallucinations. The patient then had an anaphylactic reaction to liposomal amphotericin B and was switched to intravenous posaconazole  which had to be discontinued due to a significant increase in transaminase levels. He was treated with oral isavuconazole with reduced dosage  triggered by increasing transaminases under the standard dosage. Even under reduced dosage  blood concentrations of isavuconazole were high and treatment was successful. The case illustrates real-world challenges and unmet needs in the diagnosis and treatment of IPA in patients with haematological diseases."
"175","Posaconazole liquid vs tablet formulation in lung transplant recipients.","Stelzer, D","29110351",2017,"10.1111/myc.12724","Mycoses","eng","Germany","Posaconazole is an extended-spectrum triazole antifungal used in the treatment and prophylaxis of Aspergillus infections. It is available as oral suspension (POS-Liq) and delayed-release tablets (POS-Tab). The aim of this longitudinal  retrospective study was to compare the clinical effectiveness  toxicity and pharmacokinetics of POS-Liq vs POS-Tab in lung transplant recipients (LTx-recipients)  who were treated with both formulations subsequently. Twenty-four consecutive LTx-recipients with 191 documented posaconazole trough levels (PTLs) for POS-Liq or POS-Tab were included. The administered daily doses were 300 mg for POS-Tab and 600 mg (prophylaxis) or 800 mg (therapy) for POS-Liq. Target PTLs were =700 ng/mL (prophylaxis) and =1250 ng/mL (therapy). The overall prophylactic and therapeutic response rates were 78% and 67%  respectively. No cases of hepatotoxicity or QT-prolongation were observed with either formulation. The achieved target PTLs were tripled under POS-Tab compared to POS-Liq with fewer risk factors for sub-therapeutic PTLs. Concomitant administration of POS-Tab significantly reduced the tacrolimus concentration-to-dose ratio (P = .001). We suggest the use of POS-Tab is appropriate for prophylaxis and therapy of Aspergillus infections in LTx-recipients  since POS-Tab displayed more reliable PTLs with no added adverse events. However  we recommend regular drug monitoring for POS-Liq and for therapy with POS-Tab and that immunosuppressant levels are monitored closely when the posaconazole formulation is switched."
"176","Clinical outcome and prognostic factors associated with invasive pulmonary aspergillosis: An 11-year follow-up report from Taiwan.","Sun, KS","29049319",2017,"10.1371/journal.pone.0186422","PLoS One","eng","United States","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Invasive pulmonary aspergillosis (IPA) has high mortality rate but prognostic factors are not well established. The aim of our study was to evaluate the trend in in-hospital mortality over a period of 11 years and identify factors affecting the clinical outcomes of patients with IPA.                 Label=""METHOD"" NlmCategory=""METHODS"":We conducted a nationwide inpatient population study using data from the Taiwan National Health Insurance Research Database. A total of 407 IPA patients from 2002 to 2012 were included in the study. Differences in demographics  comorbidities  and treatment were evaluated between in-hospital death group and survival group. Multivariate analysis was also performed to identify risk factors for mortality.                 Label=""RESULT"" NlmCategory=""RESULTS"":Male patients represented 63.14% of the patients (n = 257) and the mean age was 53.15 ± 20.93 years. Hematological cancer (n = 216  53.07%) and diabetes mellitus (n = 75  18.43%) were the most common underlying conditions. The overall case fatality rate was 30.22% with female slightly higher then male (32.67% versus 28.79%). The in-hospital case fatality rate increased since 2002 and peaked in 2006. It then declined over time with an in-hospital mortality of 25% in 2012. The in-hospital death group had a higher intubation rate (p&lt;0.0001)  a longer ICU stay (p = 0.0062)  higher percentages of DM (p = 0.0412) and COPD (p = 0.0178)  and a lower percentage of hematological cancer (p = 0.0079) as compared to survivor. The in-hospital death group was more likely to have steroid treatment (p&lt;0.0001)  develop acute renal failure (p&lt;0.0001) and other infectious diseases (p = 0.0008) during hospitalization. Multivariate analysis identified female gender  older age (= 65 years old)  intubation  bone marrow transplantation  acute renal failure  other infectious diseases and steroid use as predictive factors for mortality.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":The present study shows the trend in mortality among patients with IPA over an 11-year period. Female gender  older age  intubation  bone marrow transplantation  acute renal failure  other infectious diseases and steroid use were identified as risk factors for mortality. "
"177","Invasive Fungal Disease in Pediatric Solid Organ Transplant Recipients.","Saxena, S","28992290",2017,"10.1093/jpids/pix041","J Pediatric Infect Dis Soc","eng","England","                 Label=""Background"" NlmCategory=""UNASSIGNED"":Solid organ transplant (SOT) recipients are at risk for invasive fungal disease (IFD). Data on IFD burden in pediatric patients are limited. We aimed to determine the incidence and outcome of IFD in a large cohort of pediatric patients who underwent SOT.                 Label=""Methods"" NlmCategory=""UNASSIGNED"":A single-center cohort of pediatric patients who underwent SOT between 2000 and 2013 was assembled retrospectively. The patients were followed for 180 days after transplant or until death to determine the presence or absence of IFD. The 2008 European Organization for Research and Treatment of Cancer/Invasive Fungal Infections Cooperative Group and the National Institute of Allergy and Infectious Diseases Mycoses Study Group Consensus Group criteria were used to define IFD as proven or probable. The incidence of IFD  all-cause mortality rate  and case-fatality rate at 180 days were calculated.                 Label=""Results"" NlmCategory=""UNASSIGNED"":Among 584 pediatric patients who underwent SOT  13 patients sustained 14 episodes of IFD (candidiasis  aspergillosis  and mucormycosis). The overall incidence was 2.2% (14.3 IFD events per 100000 patient-days). The IFD rates according to transplant type were 12.5% (1 of 8) (heart/lung)  11.4% (4 of 35) (lung)  4.7% (8 of 172) (liver)  0% (0 of 234) (kidney)  and 0% (0 of 135) (heart). Three patients with IFD (2 lung and 1 heart/lung) died  and all these deaths were deemed likely attributable to the IFD; the case-fatality rate was 21.4% (3 of 14).                 Label=""Conclusions"" NlmCategory=""UNASSIGNED"":The overall incidence of IFD in these pediatric SOT recipients was low but varied across transplant type  with heart/lung and lung recipients having the highest IFD rate. Given the attributable case-fatality rate  the risk of death resulting from IFD is potentially high. More data on groups at higher risk  such as lung transplant recipients  are needed to guide targeted antifungal prophylaxis. "
"178","Chronic necrotizing pulmonary aspergillosis in an immunocompetent patient after the surgery of hydatid cyst.","Emiralioglu, N","28990897",2017,"10.5578/tt.13957","Tuberk Toraks","eng","Turkey","Chronic necrotizing pulmonary aspergillosis (CNPA) is a condition caused by the ubiquitous fungus Aspergillus fumigatus in non-immunocompromised individuals. Numerous underlying conditions have been associated with CNPA. Tuberculosis  non-tuberculous mycobacterial infection and allergic bronchopulmonary aspergillosis (ABPA) remain the predominant risk factors for development of CNPA. Development of CNPA in echinococcal cyst cavities is very rare and the optimal therapeutic regimen and treatment duration have not been established. Here  we present a case of CNPA developed six years after the cystectomy operation of hydatid cyst and treated with voriconazole successfully."
"179","Recognition and Clinical Presentation of Invasive Fungal Disease in Neonates and Children.","King, J","28927201",2017,"10.1093/jpids/pix053","J Pediatric Infect Dis Soc","eng","United Kingdom","Invasive fungal diseases (IFDs) are devastating opportunistic infections that result in significant morbidity and death in a broad range of pediatric patients  particularly those with a compromised immune system. Recognizing them can be difficult  because nonspecific clinical signs and symptoms or isolated fever are frequently the only presenting features. Therefore  a high index of clinical suspicion is necessary in patients at increased risk of IFD  which requires knowledge of the pediatric patient population at risk  additional predisposing factors within this population  and the clinical signs and symptoms of IFD. With this review  we aim to summarize current knowledge regarding the recognition and clinical presentation of IFD in neonates and children."
"180","Testing the performance of a prototype lateral flow device using bronchoalveolar lavage fluid for the diagnosis of invasive pulmonary aspergillosis in high-risk patients.","Castillo, CG","28905439",2017,"10.1111/myc.12694","Mycoses","eng","Germany","The diagnosis of invasive pulmonary aspergillosis (IPA) increasingly relies on non-culture-based biomarkers in bronchoalveolar lavage (BAL) fluid. The Aspergillus lateral flow device (LFD) is a rapid immunoassay that uses a novel Aspergillus monoclonal antibody to gain specificity. The objective of the study is to compare specificity and sensitivity of the prototype LFD and the galactomannan (GM) enzyme immunoassay in BAL fluid in high-risk patients. A total of 114 BAL samples from 106 patients at high risk for IPA were studied: 8 patients had proven/probable IPA  16 had possible IPA and 82 did not have IPA. In patients with proven/probable IPA  specificity of LFD was 94% and GM was 89%; sensitivity of LFD was 38% and GM was 75%. Negative predictive value (NPV) for LFD was 94% and for GM was 98%; positive predictive value (PPV) was 38% for both tests. The use of anti-mould prophylaxis did not affect specificity but resulted in decreased NPV of both LFD and GM. Union and intersection analysis showed no improvement in the performance by using both tests. Among patients at risk for IPA  the diagnostic performance of LFD and GM in BAL fluid appears comparable; specificity is high  but sensitivity of both LFD and GM is poor."
"181","Host immune status-specific production of gliotoxin and bis-methyl-gliotoxin during invasive aspergillosis in mice.","Sugui, JA","28887465",2017,"10.1038/s41598-017-10888-9","Sci Rep","eng","England","Delayed diagnosis in invasive aspergillosis (IA) contributes to its high mortality. Gliotoxin (GT) and bis-methyl-gliotoxin (bmGT) are secondary metabolites produced by Aspergillus during invasive  hyphal growth and may prove diagnostically useful. Because IA pathophysiology and GT's role in virulence vary depending on the underlying host immune status  we hypothesized that GT and bmGT production in vivo may differ in three mouse models of IA that mimic human disease. We defined temporal kinetics of GT and bmGT in serum  bronchoalveolar lavage fluid (BALF) and lungs of A. fumigatus-infected chronic granulomatous disease (CGD)  hydrocortisone-treated  and neutropenic mice. We harvested lungs for assessment of fungal burden  histology and GT/bmGT biosynthetic genes' mRNA induction. GT levels were higher in neutropenic versus CGD or steroid-treated lungs. bmGT was persistently detected only in CGD lungs. GT  but not bmGT  was detected in 71% of sera and 50% of BALF of neutropenic mice; neither was detected in serum/BALF of CGD or steroid-treated mice. Enrichment of GT in Aspergillus-infected neutropenic lung correlated with fungal burden and hyphal length but not induction of GT biosynthetic genes. In summary  GT is detectable in mouse lungs  serum and BALF during neutropenic IA  suggesting that GT may be useful to diagnose IA in neutropenic patients."
"182","Invasive Pulmonary Fungal Infections in Cystic Fibrosis.","Schwarz, C","28864921",2017,"10.1007/s11046-017-0199-4","Mycopathologia","eng","Netherlands","Invasive pulmonary mycosis is after allergic bronchopulmonary aspergillosis (ABPA) a frequent and severe complication of CF lung disease. Among CF caregivers  there is an insecurity when and how to treat infections of the lung parenchyma caused by different fungi in patients with CF. This case series provides a multicenter experience on diagnostic  manifestation  and treatment of non-ABPA cases of pulmonary. Non-ABPA cases of pulmonary mycoses in patients with CF have been collected from the CF Centers in Berlin  Essen  Worms  Frankfurt (Germany)  Leeds (UK)  and Barcelona (Spain). Non-ABPA was defined as total serum IgE level &lt;500 kU/L. Scedosporium and Lomentospora species seem to be more virulent in patients with CF and have been successfully treated with triple antifungal drug regimens in several cases. Rare fungi including yeasts can have pathogenic potential in CF. In this series  antibiotic treatment failure was the main indicator for the initiation of antifungal treatment. For an early and effective treatment of pulmonary mycoses in CF  the identification of biomarkers and of risk factors beyond antibiotic treatment failure is crucial and urgently needed. Furthermore  treatment efficacy studies are necessary for the different causative agents of these infections."
"183","Abridged version of the AWMF guideline for the medical clinical diagnostics of indoor mould exposure: S2K Guideline of the German Society of Hygiene, Environmental Medicine and Preventive Medicine (GHUP) in collaboration with the German Association of Allergists (AeDA), the German Society of Dermatology (DDG), the German Society for Allergology and Clinical Immunology (DGAKI), the German Society for Occupational and Environmental Medicine (DGAUM), the German Society for Hospital Hygiene (DGKH), the German Society for Pneumology and Respiratory Medicine (DGP), the German Mycological Society (DMykG), the Society for Pediatric Allergology and Environmental Medicine (GPA), the German Federal Association of Pediatric Pneumology (BAPP), and the Austrian Society for Medical Mycology (ÖGMM).","Wiesmüller, GA","28804700",2017,"10.1007/s40629-017-0013-3","Allergo J Int","eng","Germany","This article is an abridged version of the AWMF mould guideline &quot;Medical clinical diagnostics of indoor mould exposure&quot; presented in April 2016 by the German Society of Hygiene  Environmental Medicine and Preventive Medicine (Gesellschaft für Hygiene  Umweltmedizin und Präventivmedizin  GHUP)  in collaboration with the above-mentioned scientific medical societies  German and Austrian societies  medical associations and experts. Indoor mould growth is a potential health risk  even if a quantitative and/or causal relationship between the occurrence of individual mould species and health problems has yet to be established. Apart from allergic bronchopulmonary aspergillosis (ABPA) and mould-caused mycoses  only sufficient evidence for an association between moisture/mould damage and the following health effects has been established: allergic respiratory disease  asthma (manifestation  progression and exacerbation)  allergic rhinitis  hypersensitivity pneumonitis (extrinsic allergic alveolitis)  and increased likelihood of respiratory infections/bronchitis. In this context the sensitizing potential of moulds is obviously low compared to other environmental allergens. Recent studies show a comparatively low sensitizing prevalence of 3-10% in the general population across Europe. Limited or suspected evidence for an association exist with respect to mucous membrane irritation and atopic eczema (manifestation  progression and exacerbation). Inadequate or insufficient evidence for an association exist for chronic obstructive pulmonary disease  acute idiopathic pulmonary hemorrhage in children  rheumatism/arthritis  sarcoidosis and cancer. The risk of infection posed by moulds regularly occurring indoors is low for healthy persons; most species are in risk group 1 and a few in risk group 2 (Aspergillus fumigatus  A. flavus) of the German Biological Agents Act (Biostoffverordnung). Only moulds that are potentially able to form toxins can be triggers of toxic reactions. Whether or not toxin formation occurs in individual cases is determined by environmental and growth conditions  above all the substrate. In the case of indoor moisture/mould damage  everyone can be affected by odour effects and/or mood disorders. However  this is not a health hazard. Predisposing factors for odour effects can include genetic and hormonal influences  imprinting  context and adaptation effects. Predisposing factors for mood disorders may include environmental concerns  anxiety  condition  and attribution  as well as various diseases. Risk groups to be protected particularly with regard to an infection risk are persons on immunosuppression according to the classification of the German Commission for Hospital Hygiene and Infection Prevention (Kommission für Krankenhaushygiene und Infektionsprävention  KRINKO) at the Robert Koch- Institute (RKI) and persons with cystic fibrosis (mucoviscidosis); with regard to an allergic risk  persons with cystic fibrosis (mucoviscidosis) and patients with bronchial asthma should be protected. The rational diagnostics include the medical history  physical examination  and conventional allergy diagnostics including provocation tests if necessary; sometimes cellular test systems are indicated. In the case of mould infections the reader is referred to the AWMF guideline &quot;Diagnosis and Therapy of Invasive Aspergillus Infections&quot;. With regard to mycotoxins  there are currently no useful and validated test procedures for clinical diagnostics. From a preventive medicine standpoint it is important that indoor mould infestation in relevant dimension cannot be tolerated for precautionary reasons. With regard to evaluating the extent of damage and selecting a remedial procedure  the reader is referred to the revised version of the mould guideline issued by the German Federal Environment Agency (Umweltbundesamt  UBA)."
"184","Pulmonary and sinus fungal diseases in non-immunocompromised patients.","Denning, DW","28774699",2017,"10.1016/S1473-3099(17)30309-2","Lancet Infect Dis","eng","United Kingdom","The human respiratory tract is exposed daily to airborne fungi  fungal enzymes  and secondary metabolites. The endemic fungi Histoplasma capsulatum  Coccidioides spp  Blastomyces dermatitidis  and Paracoccidioides brasiliensis  and occasionally Aspergillus fumigatus  are primary pulmonary pathogens of otherwise healthy people. Such infections resolve in most people  and only a few infections lead to disease. However  many fungi are directly allergenic by colonising the respiratory tract or indirectly through contact with cell wall constituents and proteases  causing or exacerbating allergic disease. Increasing evidence implicates high indoor fungal exposures as a precipitant of asthma in children and in worsening asthma symptoms. Lung or airways infection by endemic fungi or aspergillus can be diagnosed with respiratory sample culture or serum IgG testing. Sputum  induced sputum  or bronchial specimens are all suitable specimens for detecting fungi; microscopy  fungal culture  galactomannan antigen  and aspergillus PCR are useful tests. Antifungal treatment is indicated in almost all patients with chronic cavitary pulmonary infections  chronic invasive and granulomatous rhinosinusitis  and aspergillus bronchitis. Most patients with fungal asthma benefit from antifungal therapy. Adverse reactions to oral azoles  drug interactions  and azole resistance in Aspergillus spp limit therapy. Environmental exposures  genetic factors  and structural pulmonary risk factors probably underlie disease but are poorly understood."
"185","Drug-drug interactions between triazole antifungal agents used to treat invasive aspergillosis and immunosuppressants metabolized by cytochrome P450 3A4.","Groll, AH","28722255",2017,"10.1111/tid.12751","Transpl Infect Dis","eng","Denmark","Patients undergoing treatment with immunosuppressant drugs following solid organ or hematopoietic stem cell transplantation are at particular risk for development of serious infections such as invasive aspergillosis. Four triazole antifungal drugs  voriconazole  posaconazole  itraconazole  and isavuconazole  are approved to treat invasive aspergillosis either as first- or second-line therapy. All of these agents are inhibitors of cytochrome P450 3A4  which plays a key role in metabolizing immunosuppressant drugs such as cyclosporine  tacrolimus  and sirolimus. Thus  co-administration of a triazole antifungal drug with these immunosuppressant drugs can potentially increase plasma concentrations of the immunosuppressant drugs  thereby resulting in toxicity  or upon discontinuation  inadvertently decrease the respective concentrations with increased risk of rejection or graft-versus-host disease. In this article  we review the evidence for the extent of inhibition of cytochrome P450 3A4 by each of these triazole antifungal drugs and assess their effects on cyclosporine  tacrolimus  and sirolimus. We also consider other factors affecting interactions of these two classes of drugs. Finally  we examine recommendations and strategies to evaluate and address those potential drug-drug interactions in these patients."
"186","Spatial Patterns and Impacts of Environmental and Climatic Factors on Canine Sinonasal Aspergillosis in Northern California.","Magro, M","28717638",2017,"10.3389/fvets.2017.00104","Front Vet Sci","eng","Switzerland","Sinonasal aspergillosis (SNA) causes chronic nasal discharge in dogs and has a worldwide distribution  although most reports of SNA in North America originate from the western USA. SNA is mainly caused by Aspergillus fumigatus  a ubiquitous saprophytic filamentous fungus. Infection is thought to follow inhalation of spores. SNA is a disease of the nasal cavity and/or sinuses with variable degrees of local invasion and destruction. While some host factors appear to predispose to SNA (such as belonging to a dolichocephalic breed)  environmental risk factors have been scarcely studied. Because A. fumigatus is also the main cause of invasive aspergillosis in humans  unraveling the distribution and the environmental and climatic risk factors for this agent in dogs would be of great benefit for public health studies  advancing understanding of both distribution and risk factors in humans. In this study  we reviewed electronic medical records of 250 dogs diagnosed with SNA between 1990 and 2014 at the University of California Davis Veterinary Medical Teaching Hospital (VMTH). A 145-mile radius catchment area around the VMTH was selected. Data were aggregated by zip code and incorporated into a multivariate logistic regression model. The logistic regression model was compared to an autologistic regression model to evaluate the effect of spatial autocorrelation. Traffic density  active composting sites  and environmental and climatic factors related with wind and temperature were significantly associated with increase in disease occurrence in dogs. Results provide valuable information about the risk factors and spatial distribution of SNA in dogs in Northern California. Our ultimate goal is to utilize the results to investigate risk-based interventions  promote awareness  and serve as a model for further studies of aspergillosis in humans."
"187","Clinical characteristics, radiologic findings, risk factors and outcomes of serum galactomannan-negative invasive pulmonary aspergillosis.","Jung, J","28712819",2017,"10.1016/j.jmii.2017.05.007","J Microbiol Immunol Infect","eng","England","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":The sensitivity of galactomannan (GM) assay is suboptimal for detecting invasive pulmonary aspergillosis (IPA) in serum samples. However  the clinical characteristics  radiologic findings  and outcomes in patients with GM-negative IPA have not been fully elucidated.                 Label=""METHODS"" NlmCategory=""METHODS"":Over a 7-year period  adult patients with proven or probable IPA by the EORTC/MSG definition were retrospectively enrolled. Patients with negative GM results and positive Aspergillus spp. cultures from sputum or bronchoalveolar lavage were classified into GM-negative IPA group. GM-positive and culture-negative IPA cases were selected at a 1:2 ratio.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Thirty-four patients with GM-negative IPA were compared to 68 randomly selected patients from 158 patients with GM-positive and culture-negative IPA. Patients with diabetes mellitus  chronic kidney disease  and steroid use were more common but those with hematologic malignancy  prior receipt of mold-active antifungal drugs  and neutropenia were less common in GM-negative IPA than in GM-positive IPA. Regarding radiologic findings  angioinvasive aspergillosis was less common in GM-negative IPA than in GM-positive IPA. The median number of days from diagnosis to appropriate antifungal therapy was higher in GM-negative IPA than in GM-positive IPA. Multivariate analysis indicated that neutropenia (adjusted odds ratio [aOR]  0.10) and prior receipt of mold-active antifungal drugs (aOR  0.12) were inversely associated with GM-negative IPA. The 30-day and 90-day mortality were similar between the two groups.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Neutropenia and prior receipt of mold-active antifungal drugs before GM assay were independently associated with GM positivity among patients with proven/probable IPA. Angioinvasive aspergillosis was less common in GM-negative IPA than in GM-positive IPA. "
"188","Long-term follow up of invasive aspergillosis in allogeneic stem cell transplantation recipients and leukemia patients: Differences in risk factors and outcomes.","Bonnet, S","28689016",2017,"10.1016/j.retram.2017.05.003","Curr Res Transl Med","eng","France","Antifungal prophylaxis (AP) has dramatically changed the epidemiology of invasive aspergillosis (IA). To better understand the differences in terms of clinical significance of IA between allogeneic stem cell transplantation (allo-SCT) recipients and patients treated for leukemia  we report a single-center study of 735 unselected consecutive patients treated between 2000 and 2004  before the era of systematic AP. Probable or confirmed IA were observed in 29 patients (2008 EORTC/MSG criteria)  including 7/235 undergoing allo-SCT (5.2%)  19/380 treated for acute leukemia (5.0%)  1/116 for chronic lymphocytic leukemia (0.9%) and 2/104 for myelodysplastic syndrome (1.9%). In allo-SCT recipients  IA occurred later than in leukemia patients  after the neutropenic period. The median time between the last treatment and the diagnosis of IA was 231 days (range  68-341) in allo-SCT recipients and 17 days (6-57) in leukemia patients (P&lt;0.001). Importantly  the 7 cases of IA after allo- SCT occurred only in patients treated with corticosteroids for graft-versus-host disease (GVHD). Mortality directly related to IA was 24%. The 100-day  2-year and 10-year overall survival were 42.9%  0%  0% in allo-SCT recipients compared to 68.1%  18.2%  13.6% in leukemia patients  respectively (P=0.05). These poor outcomes were mainly attributable to non-relapse mortality (NRM). In conclusion  our data allows distinguishing 2 types of IA occurring at different time in the treatment course. In both cases  the NRM is very high and treatment remains challenging. Thus  systematic broad-spectrum AP against Aspergillus should be considered in acute leukemia patients during the neutropenic phase and in all patients undergoing allo-SCT who develop GVHD."
"189","Invasive Fungal Infections in the Intensive Care Unit.","Ostrosky-Zeichner, L","28687215",2017,"10.1016/j.idc.2017.05.005","Infect Dis Clin North Am","eng","United States","Patients in the intensive care unit are exposed to multiple stressors that predispose them to invasive fungal infections (IFIs)  which carry high morbidity and mortality. Getting acquainted with the diagnostic methods and therapies is imperative for patient safety and for providing high-quality health care. This article focuses on the most frequent IFIs: invasive candidiasis and invasive aspergillosis."
"190","Invasive fungal infections: managing the continuum of risk in HCT patients.","Duarte, RF","28685597",2017,"10.2217/fmb-2017-0092","Future Microbiol","eng","England","43rd Annual Meeting of the EBMT  26-29 March 2017  Marseille  France The European Society for Blood and Marrow Transplantation (EBMT) was established in 1974 to enable scientists and physicians to share their experience and develop studies in clinical bone marrow transplantation. Despite advances in treatment  invasive fungal infections (IFI)  especially those caused by moulds such as Aspergillus  remain a leading cause of morbidity and mortality in patients with hematological malignancies. There is a continuum of risk of IFI during induction and consolidation therapy  and after hematopoietic cell transplantation. New  evidence-based approaches to the prevention  diagnosis and treatment of IFI were  therefore  of major interest to the over 5000 delegates from 85 countries attending the 43rd EBMT Annual Meeting (EBMT 2017)."
"191",NA,"Min, Z","28671171",2017,"10.4103/lungindia.lungindia_454_16","Lung India","eng","India","Invasive aspergillosis generally occurs during the first 1-6 months after heart transplantation. It has been rarely seen in the first 2 weeks postcardiac transplant. We herein describe a unique case of invasive pulmonary aspergillosis (IPA) diagnosed on day 9 postorthotopic heart transplantation. The known risk factors for IPA in cardiac transplant recipients were not identified in our case. The organ recipients from the same donor did not report Aspergillus infection. Hospital environmental samplings failed to demonstrate Aspergillus spores in the patient's room and his adjacent rooms. A diagnosis of early-onset de novo IPA was made. The patient initially received combined antifungal therapy (voriconazole plus micafungin)  followed by voriconazole maintenance monotherapy with favorable clinical outcome."
"192","Multinational case-control study of risk factors for the development of late invasive pulmonary aspergillosis following kidney transplantation.","López-Medrano, F","28652112",2017,"10.1016/j.cmi.2017.06.016","Clin Microbiol Infect","eng","England","                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":To assess the risk factors for development of late-onset invasive pulmonary aspergillosis (IPA) after kidney transplantation (KT).                 Label=""METHODS"" NlmCategory=""METHODS"":We performed a multinational case-control study that retrospectively recruited 112 KT recipients diagnosed with IPA between 2000 and 2013. Controls were matched (1:1 ratio) by centre and date of transplantation. Immunosuppression-related events (IREs) included the occurrence of non-ventilator-associated pneumonia  tuberculosis  cytomegalovirus disease  and/or de novo malignancy.                 Label=""RESULTS"" NlmCategory=""RESULTS"":We identified 61 cases of late (&gt;180 days after transplantation) IPA from 24 participating centres (accounting for 54.5% (61/112) of all cases included in the overall study). Most diagnoses (54.1% (33/61)) were established within the first 36 post-transplant months  although five cases occurred more than 10 years after transplantation. Overall mortality among cases was 47.5% (29/61). Compared with controls  cases were significantly older (p 0.010) and more likely to have pre-transplant chronic obstructive pulmonary disease (p 0.001) and a diagnosis of bloodstream infection (p 0.016) and IRE (p &lt;0.001) within the 6 months prior to the onset of late IPA. After multivariate adjustment  previous occurrence of IRE (OR 19.26; 95% CI 2.07-179.46; p 0.009) was identified as an independent risk factor for late IPA.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":More than half of IPA cases after KT occur beyond the sixth month  with some of them presenting very late. Late IPA entails a poor prognosis. We identified some risk factors that could help the clinician to delimit the subgroup of KT recipients at the highest risk for late IPA. "
"193","Proteome Profile of Aspergillus terreus Conidia at Germinating Stage: Identification of Probable Virulent Factors and Enzymes from Mycotoxin Pathways.","Thakur, R","28647921",2017,"10.1007/s11046-017-0161-5","Mycopathologia","eng","Netherlands","Aspergillus terreus is an emerging opportunistic fungal pathogen that causes invasive aspergillosis in immunocompromised individuals. The main risk group of individuals for this organism is leukopenic patients  individuals having cancers  bone marrow transplant persons and those who have immunological disorders. The lack of early diagnostic marker for A. terreus and intrinsic resistance to Amphotericin B  further limits the successful therapy of A. terreus-associated infections. The germination of inhaled conidia is the key step to establish successful invasion in host tissues or organs. Thus  profiling of expressed proteins during germination of conidia not only shed light on proteins that are involved in invasion or virulence but may also provide early diagnostic markers. We used nanoLC-Q-TOF to study the proteome of germinating conidia (at 16 h time points) of A. terreus. We observed expression of 373 proteins in germinating conidia of A. terreus. A total of 74 proteins were uncharacterized in the database. The expressed proteins were associated with various processes like cell wall modulation  virulence factors and secondary metabolite biosynthesis. The most abundant proteins were associated with protein biosynthesis  carbohydrate metabolism and unknown functions. Among virulent proteins  mitogen-activated protein kinase (hog1) and mitogen-activated protein kinase (mpkC) are key virulent proteins observed in our study. We observed 7 enzymes from terretonin and 10 enzymes from geodin mycotoxin biosynthesis pathway. Interestingly  we observed expression of terrelysin protein  associated with blood cell lysis. Quantitative RT-PCR analysis showed 26-fold increase in transcripts encoding for dihydrogeodin oxidase and 885-fold for terrelysin gene in germinating conidia in comparison to conidia. Further  we propose that terrelysin protein and secondary metabolite such as geodin could be explored as diagnostic marker for A. terreus-associated infections."
"194","Pseudomembranous aspergillar tracheobronchitis in a non-neutropenic critically ill patient in the intensive care unit.","Khalid, S","28634525",2017,"10.1080/20009666.2017.1287840","J Community Hosp Intern Med Perspect","eng","United States","Invasive aspergillosis is an important cause of morbidity and mortality among immunocompromised patients. Prolonged neutropenia is the most common risk factor. It has rarely been reported to occur in non-neutropenic critically ill patients in the intensive care unit setting. Mortality rate in this group has been reported to be as high as 92%. We report a case of tracheobronchial aspergillosis in a non-neutropenic critically ill patient to highlight the fact that critically ill patients admitted in the intensive care unit can develop opportunistic infections such as invasive aspergillosis even in the absence of classic risk factors and prior history of immunosuppression. Early diagnosis and prompt initiation of antifungal therapy may improve the outcome and decrease mortality rate."
