,X,STUDY_ID,REVIEWERS,INCLUDE,TITLE,AUTHORS,PMID,YEAR,DOI,JOURNAL,LANGUAGE,COUNTRY,ABSTRACT
29,143,143,Elena,NO,A case-control study of the risk factors for developing aspergillosis following cardiac transplant.,"Cook, JC",30074643,2018,10.1111/ctr.13367,Clin Transplant,eng,Denmark,"                 Label=""BACKGROUND"":Invasive aspergillosis (IA) is a significant cause of morbidity and mortality following cardiac transplantation; however  data regarding the predictors of IA in this patient population are limited.                 Label=""METHODS"":We conducted a case-control study to identify the risk factors for IA in patients who underwent cardiac transplantation at a single center from 1986 to 2008 (Cohort 1) and 2009 to 2015 (Cohort 2). Cases of IA were matched to two controls from the same year of transplantation  and data were collected from the date of cardiac transplantation to the date of documented Aspergillus infection for each case  or for an equivalent number of days for each control. Univariate and multivariate logistic regressions were used to identify independent predictors of IA in Cohort 1. After 2009  targeted antifungal prophylaxis with oral voriconazole was initiated in patients with risk factors for IA. The incidence of IA was compared pre- and postintervention.                 Label=""RESULTS"":IA was identified in 23 of 189 (8.0%) patients within Cohort 1. Significant risk factors for IA on multivariate analysis included an increased number of pretransplant hospitalizations (OR 1.81  95% CI 1.19-2.76) and posttransplant acute cellular allograft rejection (ACR) (OR 1.99  95% 1.06-3.75). Following the implementation of targeted antifungal prophylaxis in 2009  IA was identified in 2 of 107 (2.0%) patients in Cohort 2.                 Label=""CONCLUSIONS"":Increased pretransplant hospitalizations and posttransplant ACR episodes represent significant risk factors for IA following cardiac transplant. Targeted antifungal prophylaxis in at-risk patients reduces the incidence of IA. "
30,146,146,Elena,NO,Mixed mold pulmonary infections in haematological cancer patients in a tertiary care cancer centre.,"Magira, EE",30015364,2018,10.1111/myc.12830,Mycoses,eng,Germany,There is a paucity of data regarding mixed mold pulmonary infections (MMPIs) in patients with haematological malignancies with or without haematopoietic stem cell transplantation (HSCT). We retrospectively studied 27 such patients (2005-2015) and compared them to patients with invasive pulmonary aspergillosis (IPA) caused by Aspergillus fumigatus. Factors associated with the diagnosis of MMPIs were significant corticosteroid use [20 (74%) vs 6 (22%)  P &lt; 0.001]  sputum as the source specimen [13 (48%) vs 3 (11%)  P = 0.003]  younger age (median age: 58 vs 66 years  P = 0.006)  and male sex [22 (81%) vs 13 (48%)  P = 0.01]. Haematological cancers other than acute myeloid leukaemia (AML)/myelodysplastic syndromes (MDS) were less common in MMPIs than in IPA patients [AML/MDS: 6 (22%) vs 14 (52%)  P = 0.04]. Only significant corticosteroid use [95% CI (2.7-42.7)  P &lt; 0.001]  and sputum as the source specimen [95% (1.6-41.6)  P = 0.012] were statistically significant as independently associated with increased risk of MMPIs diagnosis in multivariate analysis. Total mortality rate at day 42 postdiagnosis was comparable in both groups.
31,150,150,Elena,MAYBE,Invasive pulmonary aspergillosis secondary to microwave ablation: a multicenter retrospective study.,"Huang, G",29874934,2018,10.1080/02656736.2018.1476738,Int J Hyperthermia,eng,England,"                 Label=""PURPOSE"":Invasive pulmonary aspergillosis (IPA) is a life-threatening complication of microwave ablation (MWA) during the treatment of primary or metastatic lung tumors. The purpose of this study was to investigate the clinical  radiological and demographic characteristics and treatment responses of patients with IPA after MWA.                 Label=""MATERIALS AND METHODS"":From January 2011 to January 2016  all patients who were treated by MWA of their lung tumors from six health institutions were enrolled in this study. Patients with IPA secondary to MWA were identified and retrospectively evaluated for predisposing factors  clinical treatment  and outcome.                 Label=""RESULTS"":The incidence of IPA secondary to lung MWA was 1.44% (23/1596). Of the 23 patients who developed IPA  six died as a consequence  resulting in a high mortality rate of 26.1%. Using computed tomography (CT)  pulmonary cavitation was the most common finding and occurred in 87.0% (20/23) of the patients. Sudden massive hemoptysis was responsible for one-third of the deaths (2/6). Most patients (22/23) received voriconazole as an initial treatment  and six patients with huge cavities underwent intracavitary lavage. Finally  17 patients (73.9%) achieved treatment success.                 Label=""CONCLUSIONS"":Lung MWA may be an additional host risk factor for IPA  particularly in elderly patients with underlying diseases and in patients who have recently undergone chemotherapy. Early and accurate diagnosis of IPA after MWA is critical for patient prognosis. Voriconazole should be given as the first-line treatment as early as possible. Bronchial artery embolization or intracavitary lavage may be required in some patients. "
32,154,154,Elena,YES,"Epidemiology, risk factors and outcomes of invasive aspergillosis in solid organ transplant recipients in the Swiss Transplant Cohort Study.","Neofytos, D",29668068,2018,10.1111/tid.12898,Transpl Infect Dis,eng,Denmark,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":There is lack of recent multicenter epidemiological data on invasive aspergillosis (IA) among solid organ transplant recipient (SOTr) in the mold-acting antifungal era. We describe the epidemiology and outcomes of IA in a contemporary cohort of SOTr using the Swiss Transplant Cohort Study.                 Label=""METHODS"" NlmCategory=""METHODS"":All consecutive SOTr with proven or probable IA between 01.05.2008 and 31.12.2014 were included. A case-control study to identify IA predictors was performed: 1-case was matched with 3-controls based on SOT type  transplant center  and time post-SOT.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Among 2868 SOTr  70 (2.4%) patients were diagnosed with proven (N: 30/70  42.9%) or probable (N: 40/70  57.1%) IA. The incidence of IA was 8.3%  7.1%  2.6%  1.3%  and 1.2% in lung  heart  combined  kidney  and liver transplant recipients  respectively  Galactomannan immunoassay was positive in 1/3 of patients tested. Only 33/63 (52.4%) of patients presented with typical pulmonary radiographic findings. Predictors of IA included: renal insufficiency  re-operation  and bacterial and viral infections. 12-week mortality was higher in liver (85.7%  6/7) compared to other (15.9%  10/63; P &lt; .001) SOTr.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Invasive aspergillosis remains a rare complication post-SOT  with atypical radiographic presentations and low positivity rates of biomarkers posing significant diagnostic challenges. Although overall mortality has decreased in SOTr  it remains high in liver SOTr. "
33,155,155,Elena,NO,Fungal infections in adult patients on extracorporeal life support.,"Cavayas, YA",29665838,2018,10.1186/s13054-018-2023-z,Crit Care,eng,England,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Patients on extracorporeal membrane oxygenation (ECMO) are often among the most severely ill in the intensive care unit. They are often receiving broad-spectrum antibiotics; they have multiple entry points for pathogens; and their immune system is impaired by blood circuit interaction. These factors are thought to predispose them to fungal infections. We thus aimed to evaluate the prevalence  risk factors  and prognosis of fungal infections in adults on ECMO.                 Label=""METHODS"" NlmCategory=""METHODS"":We conducted a retrospective cohort study using the Extracorporeal Life Support Organization registry  which compiles data on ECMO use from hundreds of international centers. We included all adult patients from 2006 to 2016 on any mode of ECMO with either a diagnosis of fungal infection or a positive fungal culture.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Our study comprised 2129 adult patients (10.8%) with fungal colonization or infection. Aspergillus involvement (colonization or infection) was present in 272 patients (1.4%)  of whom 35.7% survived to hospital discharge. There were 245 patients (1.2%) with Candida invasive bloodstream infection  with 35.9% survival. Risk factors for Aspergillus involvement included solid organ transplant (OR 1.83; p<U+2009>=<U+2009>0.008)  respiratory support (OR 2.75; p<U+2009>&lt;<U+2009>0.001)  and influenza infection (OR 2.48; p<U+2009>&lt;<U+2009>0.001). Risk factors for candidemia included sepsis (OR 1.60; p<U+2009>=<U+2009>0.005) and renal replacement therapy (OR 1.55; p<U+2009>=<U+2009>0.007). In multivariable analysis  Aspergillus involvement (OR 0.40; p<U+2009>&lt;<U+2009>0.001) and candidemia (OR 0.47; p<U+2009>&lt;<U+2009>0.001) were both independently associated with decreased survival.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":The prevalence of Aspergillus involvement and Candida invasive bloodstream infection were not higher in patients on ECMO than what has been reported in the general intensive care population. Both were independently associated with a reduced survival. Aspergillus involvement was strongly associated with ECMO for respiratory support and influenza. "
34,157,157,Elena,MAYBE,Invasive pulmonary aspergillosis is associated with adverse clinical outcomes in critically ill patients receiving veno-venous extracorporeal membrane oxygenation.,"Rodriguez-Goncer, I",29623451,2018,10.1007/s10096-018-3241-7,Eur J Clin Microbiol Infect Dis,eng,Germany,To identify the incidence  risk factors and impact on long-term survival of invasive pulmonary aspergillosis (IPA) and Aspergillus colonisation in patients receiving vv-extracorporeal membrane oxygenation (ECMO). A retrospective evaluation was performed of patients receiving vv-ECMO at a tertiary hospital in Manchester (UK) between January 2012 and December 2016. Data collected included epidemiological data  microbiological cultures  radiographic findings and outcomes. Cases were classified as proven IPA  putative IPA or Aspergillus colonisation according to a validated clinical algorithm. One hundred thirty-four patients were supported with vv-ECMO  median age of 45.5 years (range 16.4-73.4). Ten (7%) patients had putative IPA and nine (7%) had Aspergillus colonisation. Half of the patients with putative IPA lacked classical host risk factors for IPA. The median number of days on ECMO prior to Aspergillus isolation was 5 days. Immunosuppression and influenza A infection were significantly associated with developing IPA in a logistic regression model. Cox regression model demonstrates a three times greater hazard of death associated with IPA. Overall 6-month mortality rate was 38%. Patients with putative IPA and colonised patients had a 6-month mortality rate of 80 and 11%  respectively. Immunosuppression and influenza A infection are independent risk factors for IPA. IPA  but not Aspergillus colonisation  is associated with high long-term mortality in patients supported with vv-ECMO.
35,167,167,Elena,YES,The importance of risk factors for the prediction of patients with invasive pulmonary aspergillosis.,"Kaya, S",29239468,2017,10.1590/1806-9282.63.09.764,Rev Assoc Med Bras (1992),eng,Brazil,"                 Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"":Invasive pulmonary aspergillosis (IPA) is a major challenge in the management of immunocompromised patients. Despite all the advances in diagnosis  it remains a problem. The purpose of our study was to investigate the risk factors associated with IPA seen in patients with hematological malignancies.                 Label=""METHOD"" NlmCategory=""METHODS"":A total of 152 febrile neutropenia (FEN) patients with hematological malignancies aged over 18 years and receiving high-dose chemotherapy or stem cell transplant between January 1  2010  and December 31  2012 were included in the study. Sixty-five (65) cases with IPA according to the European Organization for the Research and Treatment of Cancer and Infectious Diseases Mycoses Study Group criteria were enrolled as the case group  while 87 patients without IPA development during concomitant monitoring were enrolled as the control group. Incidence of IPA was 21.4% (3/14) in patients receiving bone marrow transplant (allogeneic 2  autologous 1) and those cases were also added into the case group. The two groups were compared in terms of demographic  clinical and laboratory findings and risk factors associated with IPA investigated retrospectively.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Presence of relapse of primary disease  neutropenia for more than 3 weeks  presence of bacterial infection  and non-administration of antifungal prophylaxis were identified as risk factors associated with IPA.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":It may be possible to reduce the incidence of the disease by eliminating preventable risk factors. Predicting those risks would  per se  enable early diagnosis and treatment and  thus  the mortality rate of these patients would unquestionably decline. "
36,168,168,Elena,YES,"Epidemiology of invasive pulmonary aspergillosis in patients with liver failure: Clinical presentation, risk factors, and outcomes.","Zhang, X",29239266,2017,10.1177/0300060517729907,J Int Med Res,eng,England,Objective Invasive pulmonary aspergillosis (IPA) is a severe and often lethal infection. The possible risk factors  clinical presentation  and treatment of patients with simultaneous liver failure and IPA have received little attention in previous studies. The aim of this study was to investigate the epidemiology of IPA in patients with liver failure in an effort to reduce patient mortality. Methods The patients with liver failure (including acute liver failure   sub-acute liver failure   acute-on-chronic liver failure and chronic liver failure) were recruited from 2011 to 2016. The clinical data of these patients were retrieved for the study. Results In total  1077 patients with liver failure were included in this study. Of the 1077 patients  53 (4.9%) had IPA. Forty-four (83%) patients with IPA died. Independent risk factors for IPA were male sex (hazard ratio [HR]<U+2009>=<U+2009>2.542)  hepatorenal syndrome (HR<U+2009>=<U+2009>2.463)  antibiotic use (HR<U+2009>=<U+2009>4.631)  and steroid exposure (HR<U+2009>=<U+2009>18.615). Conclusions IPA is a fatal complication in patients with liver failure. Male sex  hepatorenal syndrome  antibiotic use  and steroid exposure were independent risk factors for IPA. When patients with liver failure have these risk factors and symptoms of pneumonia such as cough or hemoptysis  clinicians should be cautious about the possibility of IPA.
37,173,173,Elena,MAYBE,Predicting Invasive Aspergillosis in Hematology Patients by Combining Clinical and Genetic Risk Factors with Early Diagnostic Biomarkers.,"White, PL",29118175,2017,10.1128/JCM.01122-17,J Clin Microbiol,eng,United States,Personalized medicine provides a strategic approach to the management of IA. The incidence of IA in high-risk hematology populations is relatively low (&lt;10%)  despite unavoidable Aspergillus exposure in patients with a potentially similar clinical risk. Nonclinical variables  including genetic mutations that increase susceptibility to IA  could explain why only certain patients develop the disease. This study screened for mutations in 322 hematology patients classified according to IA status and developed a predictive model based on genetic risk  established clinical risk factors  and diagnostic biomarkers. Genetic markers were determined by real-time PCR and  with clinical risk factors and Aspergillus PCR results  subjected to multilogistic regression analysis to identify a best-fit model for predicting IA. The probability of IA was calculated  and an optimal threshold was determined. Mutations in dectin-1 (rs7309123) and DC-SIGN (rs11465384 and rs7248637)  allogeneic stem cell transplantation  respiratory virus infection  and Aspergillus PCR positivity were all significant risk factors for developing IA and were combined in a predictive model. An optimal threshold requiring three positive factors generated a mean sensitivity/specificity of 70.4%/89.2% and a probability of developing IA of 56.7%. In patients with no risk factors  the probability of developing IA was 2.4%  compared to &gt;79.1% in patients with four or more factors. Using a risk threshold of 50%  preemptive therapy would have been prescribed for 8.4% of the population. This pilot study shows that patients can be stratified according to risk of IA  providing personalized medicine based on strategic evidence for the management of IA. Further studies are required to confirm this approach.
38,176,176,Elena,NO,Clinical outcome and prognostic factors associated with invasive pulmonary aspergillosis: An 11-year follow-up report from Taiwan.,"Sun, KS",29049319,2017,10.1371/journal.pone.0186422,PLoS One,eng,United States,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Invasive pulmonary aspergillosis (IPA) has high mortality rate but prognostic factors are not well established. The aim of our study was to evaluate the trend in in-hospital mortality over a period of 11 years and identify factors affecting the clinical outcomes of patients with IPA.                 Label=""METHOD"" NlmCategory=""METHODS"":We conducted a nationwide inpatient population study using data from the Taiwan National Health Insurance Research Database. A total of 407 IPA patients from 2002 to 2012 were included in the study. Differences in demographics  comorbidities  and treatment were evaluated between in-hospital death group and survival group. Multivariate analysis was also performed to identify risk factors for mortality.                 Label=""RESULT"" NlmCategory=""RESULTS"":Male patients represented 63.14% of the patients (n = 257) and the mean age was 53.15 ± 20.93 years. Hematological cancer (n = 216  53.07%) and diabetes mellitus (n = 75  18.43%) were the most common underlying conditions. The overall case fatality rate was 30.22% with female slightly higher then male (32.67% versus 28.79%). The in-hospital case fatality rate increased since 2002 and peaked in 2006. It then declined over time with an in-hospital mortality of 25% in 2012. The in-hospital death group had a higher intubation rate (p&lt;0.0001)  a longer ICU stay (p = 0.0062)  higher percentages of DM (p = 0.0412) and COPD (p = 0.0178)  and a lower percentage of hematological cancer (p = 0.0079) as compared to survivor. The in-hospital death group was more likely to have steroid treatment (p&lt;0.0001)  develop acute renal failure (p&lt;0.0001) and other infectious diseases (p = 0.0008) during hospitalization. Multivariate analysis identified female gender  older age (= 65 years old)  intubation  bone marrow transplantation  acute renal failure  other infectious diseases and steroid use as predictive factors for mortality.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":The present study shows the trend in mortality among patients with IPA over an 11-year period. Female gender  older age  intubation  bone marrow transplantation  acute renal failure  other infectious diseases and steroid use were identified as risk factors for mortality. "
39,192,192,Elena,YES,Multinational case-control study of risk factors for the development of late invasive pulmonary aspergillosis following kidney transplantation.,"López-Medrano, F",28652112,2017,10.1016/j.cmi.2017.06.016,Clin Microbiol Infect,eng,England,"                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":To assess the risk factors for development of late-onset invasive pulmonary aspergillosis (IPA) after kidney transplantation (KT).                 Label=""METHODS"" NlmCategory=""METHODS"":We performed a multinational case-control study that retrospectively recruited 112 KT recipients diagnosed with IPA between 2000 and 2013. Controls were matched (1:1 ratio) by centre and date of transplantation. Immunosuppression-related events (IREs) included the occurrence of non-ventilator-associated pneumonia  tuberculosis  cytomegalovirus disease  and/or de novo malignancy.                 Label=""RESULTS"" NlmCategory=""RESULTS"":We identified 61 cases of late (&gt;180 days after transplantation) IPA from 24 participating centres (accounting for 54.5% (61/112) of all cases included in the overall study). Most diagnoses (54.1% (33/61)) were established within the first 36 post-transplant months  although five cases occurred more than 10 years after transplantation. Overall mortality among cases was 47.5% (29/61). Compared with controls  cases were significantly older (p 0.010) and more likely to have pre-transplant chronic obstructive pulmonary disease (p 0.001) and a diagnosis of bloodstream infection (p 0.016) and IRE (p &lt;0.001) within the 6 months prior to the onset of late IPA. After multivariate adjustment  previous occurrence of IRE (OR 19.26; 95% CI 2.07-179.46; p 0.009) was identified as an independent risk factor for late IPA.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":More than half of IPA cases after KT occur beyond the sixth month  with some of them presenting very late. Late IPA entails a poor prognosis. We identified some risk factors that could help the clinician to delimit the subgroup of KT recipients at the highest risk for late IPA. "
40,209,209,Elena,NO,Clinical manifestations and outcomes of pulmonary aspergillosis: experience from Pakistan.,"Iqbal, N",28074136,2017,10.1136/bmjresp-2016-000155,BMJ Open Respir Res,eng,England,"                 Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"":Pulmonary aspergillosis has variable course of illness  severity and outcomes depending on underlying conditions. There is limited data available on the clinical manifestations and outcome of pulmonary aspergillosis from Pakistan.                 Label=""METHODS"" NlmCategory=""METHODS"":To determine the clinical manifestations and outcome of pulmonary aspergillosis in a tertiary care hospital a retrospective study was conducted from 2004 to 2014 in patients admitted with pulmonary aspergillosis at the Aga Khan University Hospital Karachi  Pakistan.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Of the 280 cases with provisional diagnosis of aspergillosis 69 met the inclusion criteria. The mean age was 45±15.7 years  48 (69.6%) were men and 21 (30.4%) had diabetes mellitus (DM). The average length of hospital stay (LOS) was 10.61±9.08 days. Aspergillus fumigatus was the most common (42.0%)  followed by Aspergillus flavus (28.9%). More than one-third of patients previously had tuberculosis (TB) (39.13%). The commonest pulmonary manifestation was chronic pulmonary aspergillosis (CPA) 47 (68.1%) followed by invasive pulmonary aspergillosis (IPA) 12 (17.4%) and subacute invasive aspergillosis (SAIA) 8 (11.6%). Surgical excision was performed in 28 patients (40.57%). Intensive care unit admission was required for 18 patients (26.08%). Case fatality rate was 14/69 (20.3%). DM  mean LOS and hypoxic respiratory failure were identified as independent risk factors of mortality on multivariate analysis.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":A. fumigatus was the most frequent species found especially in patients with prior TB. CPA was the commonest pulmonary manifestation seen as post TB sequel. Diabetes  hypoxic respiratory failure and increased LOS were independent predictors of poor outcomes. Overall patients had good outcome with CPA compared with SAIA and IPA. "
41,221,221,Elena,NO,Clinical Presentation and Determinants of Mortality of Invasive Pulmonary Aspergillosis in Kidney Transplant Recipients: A Multinational Cohort Study.,"López-Medrano, F",27105907,2016,10.1111/ajt.13837,Am J Transplant,eng,United States,The prognostic factors and optimal therapy for invasive pulmonary aspergillosis (IPA) after kidney transplantation (KT) remain poorly studied. We included in this multinational retrospective study 112 recipients diagnosed with probable (75.0% of cases) or proven (25.0%) IPA between 2000 and 2013. The median interval from transplantation to diagnosis was 230 days. Cough  fever  and expectoration were the most common symptoms at presentation. Bilateral pulmonary involvement was observed in 63.6% of cases. Positivity rates for the galactomannan assay in serum and bronchoalveolar lavage samples were 61.3% and 57.1%  respectively. Aspergillus fumigatus was the most commonly identified species. Six- and 12-week survival rates were 68.8% and 60.7%  respectively  and 22.1% of survivors experienced graft loss. Occurrence of IPA within the first 6 months (hazard ratio [HR]: 2.29; p-value = 0.027) and bilateral involvement at diagnosis (HR: 3.00; p-value = 0.017) were independent predictors for 6-week all-cause mortality  whereas the initial use of a voriconazole-based regimen showed a protective effect (HR: 0.34; p-value = 0.007). The administration of antifungal combination therapy had no apparent impact on outcome. In conclusion  IPA entails a dismal prognosis among KT recipients. Maintaining a low clinical suspicion threshold is key to achieve a prompt diagnosis and to initiate voriconazole therapy.
42,239,239,Elena,YES,A retrospective study of the epidemiology and clinical manifestation of invasive aspergillosis in a major tertiary care hospital in Bahrain.,"Alsalman, J",27033677,2016,10.1016/j.jiph.2016.02.015,J Infect Public Health,eng,England,Limited data are available on the epidemiology  clinical manifestations and outcomes of patients with invasive aspergillosis in Bahrain. This study was conducted retrospectively to determine the epidemiology of invasive aspergillosis and its risk factors  clinical presentation  underlying conditions  and outcomes over the past five years in a major hospital. The medical records of patients with positive Aspergillus cultures admitted to a major tertiary care hospital in Bahrain during 2009-2013 were reviewed. Cases were classified according to (1) the European Organization for the Research and Treatment of Cancer/Mycoses Study Group (MSG) criteria (proven  probable  possible IA or not classifiable) and (2) &quot;validated&quot; criteria to distinguish Aspergillus colonization from IA (putative or proven IA). Demographic  microbiologic and diagnostic data were collected  and outcomes were recorded. A total of 60 patients were included  of whom 44 were colonized (73.3%)  and 16 had probable IA (26.7%); no proven or possible IA cases were identified according to the EORTC/Mycoses Study Group (MSG) criteria. In comparison  with the alternative &quot;validated&quot; criteria  32 were colonized (53.3%)  28 had putative IA (46.7%)  and none had proven IA (0%). The lung was the most common site of infection  and Aspergillus fumigatus was the most commonly isolated species (53%). Mortality was 25% among colonized patients  44% in probable cases and 32% in those with putative IA. All patients were immunocompromised or had one or more predisposing factors. Independent risk factors for death among patients with IA included older age  history of mechanical ventilation  renal replacement therapy and higher sequential organ failure assessment scores at diagnosis.
43,249,249,Elena,NO,Risk Factors Associated With Early Invasive Pulmonary Aspergillosis in Kidney Transplant Recipients: Results From a Multinational Matched Case-Control Study.,"López-Medrano, F",26813515,2016,10.1111/ajt.13735,Am J Transplant,eng,United States,Risk factors for invasive pulmonary aspergillosis (IPA) after kidney transplantation have been poorly explored. We performed a multinational case-control study that included 51 kidney transplant (KT) recipients diagnosed with early (first 180 posttransplant days) IPA at 19 institutions between 2000 and 2013. Control recipients were matched (1:1 ratio) by center and date of transplantation. Overall mortality among cases was 60.8%  and 25.0% of living recipients experienced graft loss. Pretransplant diagnosis of chronic pulmonary obstructive disease (COPD; odds ratio [OR]: 9.96; 95% confidence interval [CI]: 1.09-90.58; p = 0.041) and delayed graft function (OR: 3.40; 95% CI: 1.08-10.73; p = 0.037) were identified as independent risk factors for IPA among those variables already available in the immediate peritransplant period. The development of bloodstream infection (OR: 18.76; 95% CI: 1.04-339.37; p = 0.047) and acute graft rejection (OR: 40.73  95% CI: 3.63-456.98; p = 0.003) within the 3 mo prior to the diagnosis of IPA acted as risk factors during the subsequent period. In conclusion  pretransplant COPD  impaired graft function and the occurrence of serious posttransplant infections may be useful to identify KT recipients at the highest risk of early IPA. Future studies should explore the potential benefit of antimold prophylaxis in this group.
44,253,253,Elena,NO,Epidemiology of invasive fungal infections after liver transplantation and the risk factors of late-onset invasive aspergillosis.,"Nagao, M",26683245,2015,10.1016/j.jiac.2015.11.005,J Infect Chemother,eng,Netherlands,Invasive fungal infection (IFI) in liver transplant recipients is associated with poor outcomes. Targeted antifungal prophylaxis is recommended for high-risk populations; however  the epidemiology of IFI has changed  and the risk criteria remain unclear. In addition  the risk factors for late-onset invasive aspergillosis (IA) have not been fully characterized. We examined 279 recipients over 16 years of age to uncover their IFI epidemiology  clinical characteristics and outcomes. In addition  a case-control study was performed to identify the risk factors of late-onset IA. Of the 279 recipients  96.1% underwent living donor liver transplantation. Antifungal prophylaxis was administered to 80.6% of the recipients. IFI occurred in 15 patients  among which 8 cases were early-onset (=90 days after liver transplantation) and 7 cases were late-onset (&gt;90 days after liver transplantation). Five of the late-onset cases were invasive pulmonary aspergillosis  and 2 were fungemia cases. The mortality rate of late-onset IA was 80.0%. According to a multivariate analysis  steroid use before liver transplantation  bloodstream infection within 90 days after liver transplantation and reoperation within 90 days after liver transplantation were significant risk factors for late-onset IA after liver transplantation. The prevalence of IFI was low in our population given that over 80% of liver recipients received antifungal prophylaxis. The prognosis of late-onset IA remains poor  and predictors associated with late-onset IA  such as steroid use before liver transplantation  bloodstream infection and reoperation after liver transplantation  may help clinicians to optimize prevention measures for these devastating infections. 
45,290,290,Elena,YES,"Epidemiology of invasive aspergillosis in critically ill patients: clinical presentation, underlying conditions, and outcomes.","Taccone, FS",25928694,2015,10.1186/s13054-014-0722-7,Crit Care,eng,England,"                 Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"":Invasive aspergillosis (IA) is a fungal infection that particularly affects immunocompromised hosts. Recently  several studies have indicated a high incidence of IA in intensive care unit (ICU) patients. However  few data are available on the epidemiology and outcome of patients with IA in this setting.                 Label=""METHODS"" NlmCategory=""METHODS"":An observational study including all patients with a positive Aspergillus culture during ICU stay was performed in 30 ICUs in 8 countries. Cases were classified as proven IA  putative IA or Aspergillus colonization according to recently validated criteria. Demographic  microbiologic and diagnostic data were collected. Outcome was recorded 12 weeks after Aspergillus isolation.                 Label=""RESULTS"" NlmCategory=""RESULTS"":A total of 563 patients were included  of whom 266 were colonized (47%)  203 had putative IA (36%) and 94 had proven IA (17%). The lung was the most frequent site of infection (94%)  and Aspergillus fumigatus the most commonly isolated species (92%). Patients with IA had higher incidences of cancer and organ transplantation than those with colonization. Compared with other patients  they were more frequently diagnosed with sepsis on ICU admission and more frequently received vasopressors and renal replacement therapy (RRT) during the ICU stay. Mortality was 38% among colonized patients  67% in those with putative IA and 79% in those with proven IA (P<U+2009>&lt;<U+2009>0.001). Independent risk factors for death among patients with IA included older age  history of bone marrow transplantation  and mechanical ventilation  RRT and higher Sequential Organ Failure Assessment score at diagnosis.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":IA among critically ill patients is associated with high mortality. Patients diagnosed with proven or putative IA had greater severity of illness and more frequently needed organ support than those with Aspergillus spp colonization. "
46,291,291,Elena,NO,Long-term pulmonary infections in heart transplant recipients.,"Küpeli, E",25894190,2015,10.6002/ect.mesot2014.p205,Exp Clin Transplant,eng,Turkey,"                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":Pulmonary infections are life-threatening complications in heart transplant recipients. Our aim was to evaluate long-term pulmonary infections and the effect of prophylactic antimicrobial strategies on time of occurrence of pulmonary infections in heart transplant recipients.                 Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"":Patients who underwent heart transplantation between 2003 and 2013 at Baskent University were reviewed. Demographic information and data about immunosuppression and infectious episodes were collected.                 Label=""RESULTS"" NlmCategory=""RESULTS"":In 82 heart transplant recipients (mean age  33.85 y; 58 male and 24 female)  13 recipients (15.8%) developed pulmonary infections (mean age  44.3 y; 9 male and 4 female). There were 12 patients who had dilated cardiomyopathy and 1 patient who had myocarditis before heart transplantation; 12 patients received immunosuppressive therapy in single or combination form. Pulmonary infections developed in the first month (1 patient)  from first to third month (6 patients)  from third to sixth month (1 patient)  and &gt; 6 months after transplantation (5 patients). Chest computed tomography showed consolidation (unilateral  9 patients; bilateral  4 patients). Multiple nodular consolidations were observed in 2 patients and a cavitary lesion was detected in 1 patient. Bronchoscopy was performed in 6 patients; 3 patients had Aspergillus fumigatus growth in bronchoalveolar lavage fluid  and 2 patients had Acinetobacter baumannii growth in sputum. Treatment was empiric antibiotics (6 patients)  antifungal drugs (5 patients)  and both antibiotics and antifungal drugs (2 patients); treatment period was 1-12 months in patients with invasive pulmonary aspergillosis.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Pulmonary infections are the most common cause of mortality in heart transplant recipients. A. fumigatus is the most common opportunistic pathogen. Heart transplant recipients with fever and cough should be evaluated for pulmonary infections  and invasive pulmonary aspergillosis should be suspected if these symptoms occur within the first 3 months. Immediately starting an empiric antibiotic is important in treating pulmonary infections in heart transplant recipients. "
